itemNumber,description,unit
5011027,"PIPE, REINFORCED CONCRETE, CLASS II, 27""",L.FT.
5011028,"PIPE, REINFORCED CONCRETE, CLASS III, 27""",L.FT.
5011029,"PIPE, REINFORCED CONCRETE, CLASS IV, 27""",L.FT.
5011030,"PIPE, REINFORCED CONCRETE, CLASS V, 27""",L.FT.
5011032,"PIPE, REINFORCED CONCRETE, CLASS II, 30""",L.FT.
5011033,"PIPE, REINFORCED CONCRETE, CLASS III, 30""",L.FT.
5011034,"PIPE, REINFORCED CONCRETE, CLASS IV, 30""",L.FT.
5011035,"PIPE, REINFORCED CONCRETE, CLASS V, 30""",L.FT.
5011037,"PIPE, REINFORCED CONCRETE, CLASS II, 33""",L.FT.
5011038,"PIPE, REINFORCED CONCRETE, CLASS III, 33""",L.FT.
5011039,"PIPE, REINFORCED CONCRETE, CLASS IV, 33""",L.FT.
5011042,"PIPE, REINFORCED CONCRETE, CLASS II, 36""",L.FT.
5011043,"PIPE, REINFORCED CONCRETE, CLASS III, 36""",L.FT.
5011044,"PIPE, REINFORCED CONCRETE, CLASS IV, 36""",L.FT.
5011045,"PIPE, REINFORCED CONCRETE, CLASS V, 36""",L.FT.
5011046,"PIPE, REINFORCED CONCRETE, CLASS I, 42""",L.FT.
5011047,"PIPE, REINFORCED CONCRETE, CLASS II, 42""",L.FT.
5011048,"PIPE, REINFORCED CONCRETE, CLASS III, 42""",L.FT.
5011049,"PIPE, REINFORCED CONCRETE, CLASS IV, 42""",L.FT.
5011050,"PIPE, REINFORCED CONCRETE, CLASS V, 42""",L.FT.
5011052,"PIPE, REINFORCED CONCRETE, CLASS II, 48""",L.FT.
5011053,"PIPE, REINFORCED CONCRETE, CLASS III, 48""",L.FT.
5011054,"PIPE, REINFORCED CONCRETE, CLASS IV, 48""",L.FT.
5011055,"PIPE, REINFORCED CONCRETE, CLASS V, 48""",L.FT.
5011057,"PIPE, REINFORCED CONCRETE, CLASS II, 54""",L.FT.
5011058,"PIPE, REINFORCED CONCRETE, CLASS III, 54""",L.FT.
5011059,"PIPE, REINFORCED CONCRETE, CLASS IV, 54""",L.FT.
5011060,"PIPE, REINFORCED CONCRETE, CLASS V, 54""",L.FT.
5011062,"PIPE, REINFORCED CONCRETE, CLASS II, 60""",L.FT.
5011063,"PIPE, REINFORCED CONCRETE, CLASS III, 60""",L.FT.
5011064,"PIPE, REINFORCED CONCRETE, CLASS IV, 60""",L.FT.
5011065,"PIPE, REINFORCED CONCRETE, CLASS V, 60""",L.FT.
5011066,"PIPE, REINFORCED CONCRETE, CLASS I, 66""",L.FT.
5011067,"PIPE, REINFORCED CONCRETE, CLASS II, 66""",L.FT.
5011068,"PIPE, REINFORCED CONCRETE, CLASS III, 66""",L.FT.
5011069,"PIPE, REINFORCED CONCRETE, CLASS IV, 66""",L.FT.
5011070,"PIPE, REINFORCED CONCRETE, CLASS V, 66""",L.FT.
5011071,"PIPE, REINFORCED CONCRETE, CLASS I, 72""",L.FT.
5011072,"PIPE, REINFORCED CONCRETE, CLASS II, 72""",L.FT.
5011073,"PIPE, REINFORCED CONCRETE, CLASS III, 72""",L.FT.
5011074,"PIPE, REINFORCED CONCRETE, CLASS IV, 72""",L.FT.
5011075,"PIPE, REINFORCED CONCRETE, CLASS V, 72""",L.FT.
5011077,"PIPE, REINFORCED CONCRETE, CLASS II, 78""",L.FT.
5011078,"PIPE, REINFORCED CONCRETE, CLASS III, 78""",L.FT.
5011081,"PIPE, REINFORCED CONCRETE, CLASS I, 84""",L.FT.
5011082,"PIPE, REINFORCED CONCRETE, CLASS II, 84""",L.FT.
5011083,"PIPE, REINFORCED CONCRETE, CLASS III, 84""",L.FT.
5011084,"PIPE, REINFORCED CONCRETE, CLASS IV, 84""",L.FT.
5011087,"PIPE, REINFORCED CONCRETE, CLASS II, 90""",L.FT.
5011088,"PIPE, REINFORCED CONCRETE, CLASS III, 90""",L.FT.
5011091,"PIPE, REINFORCED CONCRETE, CLASS I, 96""",L.FT.
5011094,"PIPE, REINFORCED CONCRETE, CLASS IV, 96""",L.FT.
5011096,"PIPE, REINFORCED CONCRETE, CLASS I, 102""",L.FT.
5011098,"PIPE, REINFORCED CONCRETE, CLASS III, 102""",L.FT.
5011099,"PIPE, REINFORCED CONCRETE, CLASS IV, 102""",L.FT.
5011101,"PIPE, REINFORCED CONCRETE, CLASS I, 108""",L.FT.
5011102,"PIPE, REINFORCED CONCRETE, CLASS II, 108""",L.FT.
5011105,"PIPE, REINFORCED CONCRETE, CLASS V, 108""",L.FT.
5011181,"PIPE, REINFORCED CONCRETE (30"") (",L.FT.
5011184,"PIPE, REINFORCED CONCRETE (96"") (",L.FT.
5011186,"PIPE, REINFORCED CONCRETE (|08"") (",L.FT.
5011212,"PIPE, REINFORCED CONCRETE, CLASS HE II, 14"" X 23""",L.FT.
5011213,"PIPE, REINFORCED CONCRETE, CLASS HE III, 14"" X 23""",L.FT.
5011214,"PIPE, REINFORCED CONCRETE, CLASS HE IV, 14"" X 23""",L.FT.
5011222,"PIPE, REINFORCED CONCRETE, CLASS HE II, 19"" X 30""",L.FT.
5011223,"PIPE, REINFORCED CONCRETE, CLASS HE III, 19"" X 30""",L.FT.
5011224,"PIPE, REINFORCED CONCRETE, CLASS HE IV, 19"" X 30""",L.FT.
5011242,"PIPE, REINFORCED CONCRETE, CLASS HE II, 24"" x 38""",L.FT.
5011243,"PIPE, REINFORCED CONCRETE, CLASS HE III, 24"" X 38""",L.FT.
5011251,"PIPE, REINFORCED CONCRETE, CLASS HE III, 27"" X 42""",L.FT.
5011262,"PIPE, REINFORCED CONCRETE, CLASS HE II, 29"" X 45""",L.FT.
5011263,"PIPE, REINFORCED CONCRETE, CLASS HE III, 29"" X 45""",L.FT.
5011264,"PIPE, REINFORCED CONCRETE, CLASS HE IV, 29"" X 45""",L.FT.
5011273,"PIPE, REINFORCED CONCRETE, CLASS HE III, 32"" X 49""",L.FT.
5011281,"PIPE, REINFORCED CONCRETE, CLASS HE 1, 34"" X 53""",L.FT.
5011284,"PIPE, REINFORCED CONCRETE, CLASS HE IV, 34"" X 53""",L.FT.
5011292,"PIPE, REINFORCED CONCRETE, CLASS HE II, 38"" X 60""",L.FT.
5011301,"PIPE, REINFORCED CONCRETE, CLASS HE 1, 43"" X 68""",L.FT.
5011302,"PIPE, REINFORCED CONCRETE, CLASS HE II, 43"" X 68""",L.FT.
5011304,"PIPE, REINFORCED CONCRETE, CLASS HE IV, 43"" X 68""",L.FT.
5011312,"PIPE, REINFORCED CONCRETE, CLASS HE II, 48"" X 76""",L.FT.
5011313,"PIPE, REINFORCED CONCRETE, CLASS HE III, 48"" X 76""",L.FT.
5011333,"PIPE, REINFORCED CONCRETE, CLASS HE III, 58"" X 91""",L.FT.
5011343,"PIPE, REINFORCED CONCRETE, CLASS HE III, 63"" X 98""",L.FT.
5011345,"PIPE, REINFORCED CONCRETE, CLASS HE, 68"" X 106""",L.FT.
5011361,"PIPE, REINFORCED CONCRETE, CLASS II, ARCH (36"" X 58.5"")",L.FT.
5011474,"PIPE, REINFORCED CONCRETE, CLASS IV, 75""",L.FT.
5011501,"PIPE, REINFORCED CONCRETE (",L.FT.
5011502,"PIPE, REINFORCED CONCRETE (",L.FT.
5011503,"PIPE, REINFORCED CONCRETE (",L.FT.
5011504,"PIPE, REINFORCED CONCRETE (",L.FT.
5011505,"PIPE, REINFORCED CONCRETE (",L.FT.
5011506,"PIPE, REINFORCED CONCRETE (",L.FT.
5011507,"PIPE, REINFORCED CONCRETE (",L.FT.
5011508,"PIPE, REINFORCED CONCRETE (",L.FT.
5011509,"PIPE, REINFORCED CONCRETE (",L.FT.
5012062,"PIPE, NONREINFORCED CONCRETE, CLASS 2, 6""",L.FT.
5012082,"PIPE, NONREINFORCED CONCRETE, CLASS 2, 8""",L.FT.
5012121,"PIPE, NONREINFORCED CONCRETE, CLASS 1, 12""",L.FT.
5012122,"PIPE, NONREINFORCED CONCRETE, CLASS 2, 12""",L.FT.
5012152,"PIPE, NONREINFORCED CONCRETE, CLASS 2, 15""",L.FT.
5012182,"PIPE, NONREINFORCED CONCRETE, CLASS 2, 18""",L.FT.
5012241,"PIPE, NONREINFORCED CONCRETE, CLASS 1, 24""",L.FT.
5012242,"PIPE, NONREINFORCED CONCRETE, CLASS 2, 24""",L.FT.
5012243,"PIPE, NONREINFORCED CONCRETE, CLASS 3, 24""",L.FT.
5012512,"STORM DRAIN PIPE, 12""",L.FT.
5012515,"STORM DRAIN PIPE, 15""",L.FT.
5012518,"STORM DRAIN PIPE, 18""",L.FT.
5012521,"STORM DRAIN PIPE, 21""",L.FT.
5012524,"STORM DRAIN PIPE, 24""",L.FT.
5012527,"STORM DRAIN PIPE, 27""",L.FT.
5012530,"STORM DRAIN PIPE, 30""",L.FT.
5012533,"STORM DRAIN PIPE, 33""",L.FT.
5012536,"STORM DRAIN PIPE  36""",L.FT.
5012539,"STORM DRAIN PIPE, 39""",L.FT.
5012542,"STORM DRAIN PIPE, 42""",L.FT.
5012548,"STORM DRAIN PIPE, 48""",L.FT.
5012554,"STORM DRAIN PIPE, 54""",L.FT.
5012560,"STORM DRAIN PIPE, 60""",L.FT.
5012566,"STORM DRAIN PIPE, 66""",L.FT.
5012572,"STORM DRAIN PIPE, 72""",L.FT.
5012578,"STORM DRAIN PIPE, 78""",L.FT.
5012584,"STORM DRAIN PIPE, 84""",L.FT.
5012590,"STORM DRAIN PIPE, 90""",L.FT.
5012592,STORM DRAIN PIPE (,EACH
5012594,STORM DRAIN PIPE (,L.FT.
5012912,"PIPE CULVERT, 12""",L.FT.
5012915,"PIPE CULVERT, 15""",L.FT.
5012918,"PIPE CULVERT, 18""",L.FT.
5012924,"PIPE CULVERT, 24""",L.FT.
5012930,"PIPE CULVERT, 30""",L.FT.
5012936,"PIPE CULVERT, 36""",L.FT.
5012942,"PIPE CULVERT, 42""",L.FT.
5012948,"PIPE CULVERT, 48""",L.FT.
5012954,"PIPE CULVERT, 54""",L.FT.
5012960,"PIPE CULVERT, 60""",L.FT.
5012966,"PIPE CULVERT, 66""",L.FT.
5012972,"PIPE CULVERT, 72""",L.FT.
5013028,PIPE CULVERT (,L.FT.
5013031,"PIPE CULVERT, (42"" X 29"")",L.FT.
5013035,"PIPE CULVERT, (35"" X 24"")",L.FT.
5014012,"FLARED END SECTION, 12"" (C-13.25)",EACH
5014018,"FLARED END SECTION, 18"" (C-13.25)",EACH
5014024,"FLARED END SECTION, 24"" (C-13.25)",EACH
5014027,"FLARED END SECTION, 27"" (C-13.25)",EACH
5014030,"FLARED END SECTION, 30"" (C-13.25)",EACH
5014036,"FLARED END SECTION, 36"" (C-13.25)",EACH
5014042,"FLARED END SECTION, 42"" (C-13.25)",EACH
5014048,"FLARED END SECTION, 48"" (C-13.25)",EACH
5014054,"FLARED END SECTION, 54"" (C-13.25)",EACH
5014060,"FLARED END SECTION, 60"" (C-13.25)",EACH
5014066,"FLARED END SECTION, 66"" (C-13.25)",EACH
5014078,"FLARED END SECTION, 78"" (C-13.25)",EACH
5014084,"FLARED END SECTION, 84"" (C-13.25)",EACH
5014112,"FLARED END SECTION (12"") (C-13.20)",EACH
5014118,"FLARED END SECTION (18"") (C-13.20)",EACH
5014121,"FLARED END SECTION (21"") (C-13.20)",EACH
5014124,"FLARED END SECTION (24"") (C-13.20)",EACH
5014130,"FLARED END SECTION (30"") (C-13.20)",EACH
5014136,"FLARED END SECTION (36"") (C-13.20)",EACH
5014142,"FLARED END SECTION (42"") (C-13.20)",EACH
5014148,"FLARED END SECTION (48"") (C-13.20)",EACH
5014217,"FLARED END SECTION, 17"" X 13"" (C-13.25)",EACH
5014221,"FLARED END SECTION, 21"" X 15"" (C-13.25)",EACH
5014224,"FLARED END SECTION, 24"" X 18"" (C-13.25)",EACH
5014228,"FLARED END SECTION, 28"" X 20"" (C-13.25)",EACH
5014229,"FLARED END SECTION, 29"" X 18"" (C-13.25)",EACH
5014230,"FLARED END SECTION, 30"" X 19"" (C-13.25)",EACH
5014235,"FLARED END SECTION, 35"" X 24"" (C-13.25)",EACH
5014236,"FLARED END SECTION, 36"" X 22"" (C-13.25)",EACH
5014242,"FLARED END SECTION, 42"" X 29"" (C-13.25)",EACH
5014243,"FLARED END SECTION, 43"" X 27"" (C-13.25)",EACH
5014249,"FLARED END SECTION, 49"" X 33"" (C-13.25)",EACH
5014253,FLARED END SECTION (,EACH
5014254,FLARED END SECTION (,EACH
5014257,"FLARED END SECTION, 57"" X 38"" (C-13.25)",EACH
5014264,"FLARED END SECTION, 64"" X 43"" (C-13.25)",EACH
5014283,"FLARED END SECTION, 83"" X 57"" (C-13.25)",EACH
5014309,"FLARED END SECTION, 35"" X 24"" (C-13.20 OR 13.25)",EACH
5014312,"FLARED END SECTION, 42"" X 29"" (C-13.20 OR 13.25)",EACH
5014316,"FLARED END SECTION, 50"" X 31"" (C-13.20 OR 13.25)",EACH
5014424,"FLARED END SECTION, 24"" X 18"" (C-13.25)",EACH
5014512,"FLARED END SECTION, 12"" (C-13.20 OR C-13.25)",EACH
5014515,"FLARED END SECTION, 15"" (C-13.20 OR C-13.25)",EACH
5014518,"FLARED END SECTION, 18"" (C-13.20 OR C-13.25)",EACH
5014524,"FLARED END SECTION, 24"" (C-13.20 OR C-13.25)",EACH
5014530,"FLARED END SECTION, 30"" (C-13.20 OR C-13.25)",EACH
5014536,"FLARED END SECTION, 36"" (C-13.20 OR C-13.25)",EACH
5014542,"FLARED END SECTION, 42"" (C-13.20 OR C-13.25)",EACH
5014548,"FLARED END SECTION, 48"" (C-13.20 OR C-13.25)",EACH
5014572,"FLARED END SECTION, 72"" (C-13.20 OR C-13.25)",EACH
5014618,"METAL SAFETY END SECTION (18"")",EACH
5014624,"METAL SAFETY END SECTION (24 "")",EACH
5014630,"METAL SAFETY END SECTION (30 "")",EACH
5014636,"METAL SAFETY END SECTION (36"")",EACH
5014642,"METAL SAFETY END SECTION (42"")",EACH
5014648,"METAL SAFETY END SECTION (48"")",EACH
5014654,"METAL SAFETY END SECTION (54"")",EACH
5014660,"METAL SAFETY END SECTION (60"")",EACH
5014672,"METAL SAFETY END SECTION (28"" X 20"")",EACH
5014673,"METAL SAFETY END SECTION (35"" X 24"")",EACH
5014699,METAL SAFETY END SECTION (,EACH
5014701,REMOVE AND RESET FLARED END SECTION,EACH
5016012,"RELOCATE CORRUGATED METAL PIPE (12"""")",L.FT.
5016024,"RELOCATE CORRUGATED METAL PIPE (24"")",L.FT.
5016030,"RELOCATE CORRUGATED METAL PIPE (30"")",L.FT.
5016048,"RELOCATE CORRUGATED METAL PIPE (48"")",L.FT.
5016136,"RELOCATE CORRUGATED METAL PIPE (36"" X 22"")",L.FT.
5017986,"PIPE, REINFORCED CONCRETE, LOW-HEAD PRESSURE, C-50, 108""",L.FT.
5018040,RELOCATE REINFORCED CONCRETE PIPE,L.SUM
5019005,"PIPE, STEEL (5"")",L.FT.
5019007,PIPE (,L.FT.
5019008,PIPE (,L.FT.
5019009,PIPE (,L.FT.
5019010,"PIPE, STEEL (10"")",L.FT.
5019012,"PIPE, STEEL (12"")",L.FT.
5019018,"PIPE, STEEL (18"")",L.FT.
5019020,"PIPE, STEEL (20"")",L.FT.
5019024,"PIPE, STEEL (24"")",L.FT.
5019036,"PIPE, STEEL (36"")",L.FT.
5019301,PIPE (,EACH
5019302,PIPE (,L.FT.
5019311,PIPE (,L.FT.
5019321,PIPE (,L.FT.
5020084,"STRUCTURAL PLATE PIPE, 84""",L.FT.
5020096,"STRUCTURAL PLATE PIPE, 96""",L.FT.
5020120,"STRUCTURAL PLATE PIPE, 120""",L.FT.
5020138,"STRUCTURAL PLATE PIPE, 138""",L.FT.
5020144,"STRUCTURAL PLATE PIPE, 144""",L.FT.
5020156,"STRUCTURAL PLATE PIPE, 156""",L.FT.
5020168,"STRUCTURAL PLATE PIPE, 168""",L.FT.
5020200,STRUCTURAL PLATE PIPE (,L.FT.
5021208,STRUCTURAL PLATE PIPE ARCH (,L.FT.
5021503,STRUCTURAL PLATE ARCH (14' X 7'),L.FT.
5021504,"STRUCTURAL PLATE ARCH (15' x 4'6"")",L.FT.
5021511,STRUCTURAL PLATE ARCH (16' X 8'),L.FT.
5022309,"STRUCTURAL PLATE ARCH (23' X 9' 10"")",L.FT.
5023815,"STRUCTURAL PLATE ARCH (38' 4"" X 15' 9"")",L.FT.
5030001,"CONCRETE CATCH BASIN (C-15.10) SINGLE, H=8' OR LESS",EACH
5030002,"CONCRETE CATCH BASIN (C-15.10) SINGLE, H=OVER 8'",EACH
5030003,"CONCRETE CATCH BASIN (C-15.10) DOUBLE, H=8' OR LESS",EACH
5030012,"CONCRETE CATCH BASIN (C-15.10) SINGLE, H=OVER 8' (",EACH
5030013,"CONCRETE CATCH BASIN (C-15.10) DOUBLE, H=8' OR LESS",EACH
5030014,CONCRETE CATCH BASIN (C-15.10) DOUBLE H=OVER 8' (,EACH
5030021,"CONCRETE CATCH BASIN (C-15.20) ONE 3.5' WING, H=8' OR LESS",EACH
5030022,"CONCRETE CATCH BASIN (C-15.20) ONE 3.5' WING, H= OVER 8'",EACH
5030023,"CONCRETE CATCH BASIN (C-15.20) ONE 7.5' WING, H=8' OR LESS",EACH
5030024,"CONCRETE CATCH BASIN (C-15.20) ONE 7.5' WING, H=OVER 8'",EACH
5030025,"CONCRETE CATCH BASIN (C-15.20) ONE 11.5' WING, H=8' OR LESS",EACH
5030026,"CONCRETE CATCH BASIN (C-15.20) ONE 11.5' WING, H=OVER 8'",EACH
5030027,"CONCRETE CATCH BASIN (C-15.20) ONE 19.5' WING, H=8' OR LESS",EACH
5030028,"CONCRETE CATCH BASIN (C-15.20) ONE 19.5' WING, H=OVER 8'",EACH
5030029,"CONCRETE CATCH BASIN (C-15.20) TWO 3.5' WINGS, H=8' OR LESS",EACH
5030030,"CONCRETE CATCH BASIN (C-15.20) TWO 7.5' WINGS, H=8' OR LESS",EACH
5030031,"CONCRETE CATCH BASIN (C-15.20) SUMP ONLY, H=8' OR LESS",EACH
5030032,"CONCRETE CATCH BASIN (C-15.20) SUMP ONLY, H=OVER 8'",EACH
5030036,"CONCRETE CATCH BASIN (C-15.20) TWO 11.5' WINGS, H=8' OR LESS",EACH
5030044,"CONCRETE CATCH BASIN (C-15.20) TWO 19.5' WINGS, H=8' OR LESS",EACH
5030066,CONCRETE CATCH BASIN (C-15.20) (,EACH
5030070,"CONCRETE CATCH BASIN (C-15.30) SINGLE, H=8' OR LESS",EACH
5030071,"CONCRETE CATCH BASIN (C-15.30) SINGLE, H=OVER 8'",EACH
5030072,"CONCRETE CATCH BASIN (C-15.30) DOUBLE, H = 8' OR LESS",EACH
5030073,"CONCRETE CATCH BASIN (C-15.30) DOUBLE, H=OVER 8'",EACH
5030074,"CONCRETE CATCH BASIN (C-15.30) TRIPLE, H=8' OR LESS",EACH
5030076,"CONCRETE CATCH BASIN (C-15.30) QUAD, H=8' OR LESS",EACH
5030080,"CONCRETE CATCH BASIN (C-15.30) SINGLE, H =8' OR LESS (",EACH
5030081,"CONCRETE CATCH BASIN (C-15.30) SINGLE, H=OVER 8' (",EACH
5030082,"CONCRETE CATCH BASIN (C-15.30) DOUBLE, H=8' OR LESS (",EACH
5030086,"CONCRETE CATCH BASIN (C-15.30) QUAD, H=8' OR LESS (",EACH
5030091,"CONCRETE CATCH BASIN (C-15.40) SUMP ONLY, H=8' OR LESS",EACH
5030092,"CONCRETE CATCH BASIN (C-15.40) ONE 3.5' WING, H=8' OR LESS",EACH
5030094,"CONCRETE CATCH BASIN (C-15.40) ONE 7.5' WING, H=8' OR LESS",EACH
5030101,"CONCRETE CATCH BASIN (C-15.40) ONE 11.5' WING, H=8' OR LESS",EACH
5030102,"CONCRETE CATCH BASIN (C-15.40) ONE 11.5' WING, H=OVER 8'",EACH
5030104,"CONCRETE CATCH BASIN (C-15.40) ONE 19.5' WING, H=8' OR LESS",EACH
5030106,"CONCRETE CATCH BASIN (C-15.40) ONE 19.5' WING, H=OVER 8'",EACH
5030109,"CONCRETE CATCH BASIN (C-15.40) TWO 19.5' WINGS, H=OVER 8'",EACH
5030110,"CONCRETE CATCH BASIN (C-15.40) TWO 3.5' WINGS, H=8' OR LESS",EACH
5030111,"CONCRETE CATCH BASIN (C-15.40) SUMP ONLY,H=8' OR LESS (",EACH
5030112,"CONCRETE CATCH BASIN (C-15.40) TWO 7.5' WINGS, H=8' OR LESS",EACH
5030114,"CONCRETE CATCH BASIN (C-15.40) TWO 11.5' WINGS, H=8' OR LESS",EACH
5030115,"CONCRETE CATCH BASIN (C-15.40) TWO 19.5' WINGS, H=8' OR LESS",EACH
5030141,CONCRETE CATCH BASIN (MEDIAN),EACH
5030142,CONCRETE CATCH BASIN (MEDIAN) (,EACH
5030143,CONCRETE CATCH BASIN (MEDIAN) (,EACH
5030151,CONCRETE CATCH BASIN (MEDIAN DIKES),EACH
5030152,CONCRETE CATCH BASIN (MEDIAN DIKES) (,EACH
5030161,INLET STRUCTURE,EACH
5030162,INLET STRUCTURE (,EACH
5030163,INLET STRUCTURE (,EACH
5030167,OUTLET STRUCTURE (,EACH
5030168,OUTLET STRUCTURE (,EACH
5030169,OVERFLOW STRUCTURE (,EACH
5030171,CONCRETE CATCH BASIN (SAFETY INLET),EACH
5030173,CONCRETE CATCH BASIN (SAFETY INLET) (DOUBLE),EACH
5030181,DROP INLET (WITH GRATE),EACH
5030183,DROP INLET (,EACH
5030184,DROP INLET (,EACH
5030185,DROP STRUCTURE (,EACH
5030186,DROP STRUCTURE (,EACH
5030190,RECONSTRUCT CATCH BASIN (,EACH
5030191,RECONSTRUCT CATCH BASIN,EACH
5030192,ADJUST CATCH BASIN TO GRADE,EACH
5030211,TRENCH DRAIN (,L.FT.
5030236,CATCH BASIN,EACH
5030251,"CATCH BASIN, TYPE J14, (PHOENIX DET. P-1566)",EACH
5030255,"CATCH BASIN, TYPE K7 (PHOENIX DET. P-1567)",EACH
5030256,"CATCH BASIN, TYPE K14 (PHOENIX DET. P-1567)",EACH
5030258,"CATCH BASIN, TYPE K14 (PHOENIX DET. P-1567) (",EACH
5030260,"CATCH BASIN, TYPE L (PHOENIX DET. P-1568)",EACH
5030263,"CATCH BASIN, TYPE L (PHOENIX DET. P-1568) (",EACH
5030270,"CATCH BASIN, TYPE M (D-9)",EACH
5030271,"CATCH BASIN, TYPE M-1 (L=3')",EACH
5030272,"CATCH BASIN,TYPE M-1 (L=6') (PHOENIX DET. P-1569)",EACH
5030273,"CATCH BASIN,TYPE M-1 (L=10')(PHOENIX DET. P-1569)",EACH
5030274,"CATCH BASIN,TYPE M-1 (L=17')(PHOENIX DET. P-1569)",EACH
5030276,"CATCH BASIN,TYPE M-2 (L=3') (PHOENIX DET. P-1569)",EACH
5030277,"CATCH BASIN,TYPE M-2 (L=6') (PHOENIX DET. P-1569)",EACH
5030278,"CATCH BASIN,TYPE M-2 (L=10')(PHOENIX DET. P-1569)",EACH
5030279,"CATCH BASIN,TYPE M-2 (L=17')(PHOENIX DET. P-1569)",EACH
5030282,"CATCH BASIN,TYPE N, TRIPLE  (PHOENIX DET. P-1570)",EACH
5030290,"CATCH BASIN,TYPE P, (PHOENIX DET. P-1571)",EACH
5030300,"CATCH BASIN,TYPE Q, SINGLE  (PHOENIX DET. P-1572)",EACH
5030301,"CATCH BASIN,TYPE Q, DOUBLE  (PHOENIX DET. P-1572)",EACH
5030310,"CATCH BASIN,TYPE R (PHOENIX DET. P-1573)",EACH
5030311,"CATCH BASIN, TYPE R (PHOENIX DETAIL P-1573) (",EACH
5030320,"CATCH BASIN, TYPE S-1",EACH
5030321,"CATCH BASIN, TYPE S-2",EACH
5030332,"CATCH BASIN,TYPE A, (MAG DET. 530)",EACH
5030337,"CATCH BASIN,TYPE B, (MAG DET. 531)",EACH
5030342,"CATCH BASIN, TYPE C, (MAG DET. 532)",EACH
5030343,"CATCH BASIN, TYPE C, B=15' 6"" (MAG DET. 532)",EACH
5030346,"CATCH BASIN, TYPE D, ONE 3'  WING (MAG DET. 533-1)",EACH
5030347,"CATCH BASIN, TYPE D, ONE 6'  WING (MAG DET. 533-1)",EACH
5030348,"CATCH BASIN, TYPE D, ONE 10' WING (MAG DET. 533-1)",EACH
5030349,"CATCH BASIN, TYPE D, ONE 17' WING (MAG DET. 533-1)",EACH
5030365,"CATCH BASIN, TYPE E, (MAG DET. 534-1 & 534-2)",EACH
5030366,"CATCH BASIN, TYPE E, (MAG DET. 534-1 & 534-2)(",EACH
5030371,"CATCH BASIN, TYPE F, (MAG DET. 535)",EACH
5030376,"CATCH BASIN, TYPE G, (MAG DET. 537)",EACH
5030401,CONCRETE APRON FOR CATCH BASIN,EACH
5030402,CONCRETE APRON FOR CATCH BASIN (,EACH
5030451,CATCH BASIN GRATE,EACH
5030461,TRASH RACK FOR BOX CULVERT (,EACH
5030462,TRASH RACK (,EACH
5030463,TRASH RACK (,EACH
5030464,TRASH RACK (,EACH
5030465,TRASH RACK (,EACH
5030466,TRASH RACK (,EACH
5030467,TRASH RACK (,EACH
5030468,TRASH RACK (,EACH
5030500,JUNCTION BOX,EACH
5030501,JUNCTION BOX (,EACH
5030601,CATCH BASIN (,EACH
5030602,CATCH BASIN (,EACH
5030603,CONCRETE CATCH BASIN (SPECIAL),EACH
5030604,CONCRETE CATCH BASIN (,EACH
5030605,CONCRETE CATCH BASIN (,EACH
5030606,CONCRETE CATCH BASIN (,EACH
5030607,CONCRETE CATCH BASIN (,EACH
5030608,CONCRETE CATCH BASIN (,EACH
5030609,CONCRETE CATCH BASIN (,EACH
5030610,CONCRETE CATCH BASIN (,EACH
5030611,CONCRETE CATCH BASIN (,EACH
5030612,CONCRETE CATCH BASIN (,EACH
5030613,CONCRETE CATCH BASIN (,EACH
5030621,"CATCH BASIN, TYPE M-1 (L=6 FT)(PHOENIX DET. P-1569) (",EACH
5030622,"CATCH BASIN, TYPE K-14 (PHOENIX DET. P-1567) (",EACH
5030623,"CATCH BASIN, TYPE M-1 (L=10') (PHOENIX DET. P-1569) (",L.SUM
5030701,JUNCTION STRUCTURE (FOR PUMP HOUSE),EACH
5030702,JUNCTION STRUCTURE (,EACH
5030703,JUNCTION STRUCTURE (,EACH
5030704,JUNCTION STRUCTURE (,EACH
5030705,JUNCTION STRUCTURE (,EACH
5030706,JUNCTION STRUCTURE (,EACH
5030707,JUNCTION STRUCTURE (,EACH
5030708,JUNCTION STRUCTURE (,EACH
5030709,JUNCTION STRUCTURE (,EACH
5030710,APPROACH STRUCTURE (,EACH
5030712,JUNCTION STRUCTURE (,EACH
5030751,STORM DRAIN OUTLET,EACH
5030752,STORM DRAIN OUTLET (,EACH
5030756,STORM DRAIN STRUCTURE (CONCRETE) (,EACH
5030760,STORM SEWER OUTFALL ACCESS BARRIER,EACH
5030801,"CATCH BASIN, COLLECTOR",EACH
5030802,"CONCRETE CATCH BASIN, COLLECTOR (",EACH
5031103,"CONCRETE CATCH BASIN, PIMA CO. #1, W=3.5 FT",EACH
5031107,"CONCRETE CATCH BASIN, PIMA CO. #1,W= 7 FT",EACH
5031110,"CONCRETE CATCH BASIN, PIMA CO. #1,W=10 FT",EACH
5031114,"CONCRETE CATCH BASIN, PIMA CO. #1,W=14 FT",EACH
5031121,"CONCRETE CATCH BASIN, PIMA CO. #1,W=21 FT",EACH
5031210,"CONCRETE CATCH BASIN, PIMA CO. #1, W=10 FT (",EACH
5040012,"STANDPIPE (C-16.20) (TYPE 1) (WITH 12"" GATE)",EACH
5040112,"STANDPIPE (C-16.20) (TYPE 2) (WITH 12"" GATE)",EACH
5040138,"PIPE VENT (8"")",EACH
5040150,RECONSTRUCT STANDPIPE,EACH
5040201,IRRIGATION STANDPIPE (MAG DET. 503),EACH
